visitor_id,visit_date,utm_source,utm_medium,utm_campaign,lead_id,created_at,amount,closing_reason,status_id
35060e52...,2023-06-01 10:40:28,yandex,cpc,prof-frontend,26066151,2023-06-15 12:52:40,237990,Успешная продажа,142
d183fbda...,2023-06-01 14:39:00,yandex,cpc,base-frontend,74450379,2023-06-30 14:36:31,201150,Успешная продажа,142
ca003c89...,2023-06-01 04:58:00,vk,cpc,freemium-frontend,48838540,2023-06-20 20:49:16,189210,Успешная продажа,142
d31c9590...,2023-06-01 10:44:00,yandex,cpc,freemium,21579820,2023-06-19 15:28:22,188991,Успешная продажа,142
fd143824...,2023-06-01 14:57:00,yandex,cpc,prof-frontend,23169912,2023-06-14 06:13:44,180306,Успешная продажа,142
b6ddcd9f...,2023-06-01 03:41:00,vk,cpc,prof-java,50769366,2023-06-15 11:43:46,178800,Успешная продажа,142
f2db2eb1...,2023-06-01 19:39:00,yandex,cpc,prof-frontend,25327894,2023-06-11 21:57:08,167625,Успешная продажа,142
bd5ad484...,2023-06-01 11:34:00,yandex,cpc,base-python,73882489,2023-06-26 08:36:49,160920,Успешная продажа,142
f1dc9c36...,2023-06-20 15:15:04.701,telegram,cpp,base-java,20614407,2023-06-26 17:47:47,151192,Успешная продажа,142
36d4c2cf...,2023-06-01 16:43:00,yandex,cpc,dod-php,24703215,2023-06-03 14:40:56,150255,Успешная продажа,142
